tenure,monthly_charges,total_charges,contract_type,customer_support_calls,internet_service,online_security,tech_support,payment_method,paperless_billing,churn
8,75.06,600.46,One year,1,No,No,No,Electronic check,Yes,0
43,82.8,3560.42,Two year,5,DSL,No,No,Bank transfer,No,0
20,83.62,1672.46,One year,3,DSL,No,No,Mailed check,No,0
39,30.84,1202.74,Month-to-month,4,Fiber optic,Yes,No,Credit card,No,1
49,55.81,2734.47,Month-to-month,4,Fiber optic,Yes,Yes,Bank transfer,Yes,1
64,86.35,5526.68,One year,3,DSL,Yes,Yes,Bank transfer,Yes,0
62,44.21,2741.29,One year,3,DSL,Yes,Yes,Credit card,Yes,0
54,57.42,3100.67,Two year,3,Fiber optic,No,No,Bank transfer,Yes,1
9,41.82,376.41,One year,1,DSL,No,Yes,Electronic check,Yes,0
37,57.08,2112.11,One year,0,DSL,No,No,Bank transfer,Yes,1
49,91.03,4460.32,Month-to-month,1,Fiber optic,Yes,No,Electronic check,No,1
41,56.41,2312.81,Month-to-month,6,No,Yes,Yes,Electronic check,Yes,1
17,64.47,1096.04,Month-to-month,0,Fiber optic,No,No,Bank transfer,No,1
21,52.32,1098.68,Month-to-month,5,Fiber optic,Yes,Yes,Credit card,Yes,1
51,56.81,2897.28,One year,3,DSL,No,No,Electronic check,No,0
59,21.21,1251.62,Month-to-month,1,Fiber optic,No,No,Mailed check,Yes,1
39,42.7,1665.29,Month-to-month,2,DSL,No,No,Electronic check,Yes,1
55,54.93,3020.96,Month-to-month,6,No,Yes,Yes,Credit card,No,1
41,70.7,2898.85,Month-to-month,5,Fiber optic,Yes,Yes,Bank transfer,Yes,1
39,56.0,2184.16,Month-to-month,5,Fiber optic,Yes,No,Credit card,Yes,1
13,47.03,611.33,One year,7,Fiber optic,No,Yes,Credit card,No,1
64,51.05,3267.07,Month-to-month,7,DSL,No,No,Bank transfer,Yes,1
11,39.38,433.22,One year,5,No,Yes,Yes,Mailed check,Yes,0
19,93.96,1785.23,One year,0,DSL,Yes,No,Mailed check,Yes,0
11,61.74,679.13,Two year,9,DSL,No,No,Electronic check,Yes,1
46,21.07,969.35,Month-to-month,6,DSL,Yes,Yes,Electronic check,Yes,1
45,21.56,970.01,Month-to-month,7,Fiber optic,No,Yes,Mailed check,Yes,1
1,97.84,97.84,Month-to-month,4,Fiber optic,Yes,No,Bank transfer,No,1
40,37.72,1508.64,Month-to-month,3,DSL,No,Yes,Credit card,Yes,1
19,84.45,1604.52,Two year,6,DSL,No,No,Bank transfer,No,1
61,24.66,1504.38,One year,5,No,No,Yes,Credit card,Yes,0
12,93.69,1124.32,One year,5,DSL,Yes,Yes,Credit card,No,0
61,89.95,5487.15,Month-to-month,2,Fiber optic,Yes,Yes,Mailed check,No,1
33,65.69,2167.69,One year,9,Fiber optic,No,Yes,Mailed check,No,1
45,20.72,932.4,Month-to-month,3,Fiber optic,No,No,Bank transfer,Yes,1
69,40.62,2803.12,One year,4,Fiber optic,No,No,Credit card,Yes,1
8,52.55,420.37,One year,8,Fiber optic,No,Yes,Bank transfer,Yes,1
25,56.81,1420.13,Month-to-month,7,No,Yes,No,Electronic check,Yes,1
46,43.81,2015.46,Month-to-month,2,DSL,No,No,Mailed check,Yes,1
30,22.64,679.07,Two year,5,DSL,Yes,Yes,Mailed check,No,0
47,67.21,3158.88,Month-to-month,9,DSL,Yes,No,Credit card,No,1
49,61.93,3034.69,Month-to-month,0,No,Yes,No,Mailed check,Yes,1
47,42.64,2004.08,Month-to-month,2,Fiber optic,No,Yes,Bank transfer,Yes,1
18,23.04,414.69,Month-to-month,9,DSL,Yes,No,Credit card,No,1
66,99.57,6571.46,One year,6,Fiber optic,No,No,Credit card,Yes,1
68,58.56,3982.0,One year,6,Fiber optic,Yes,Yes,Electronic check,Yes,1
33,80.48,2655.85,One year,1,No,Yes,No,Bank transfer,No,0
36,56.19,2022.66,Month-to-month,2,DSL,No,Yes,Credit card,Yes,1
19,23.45,445.62,One year,6,Fiber optic,Yes,No,Mailed check,No,1
28,44.77,1253.51,Two year,5,Fiber optic,Yes,No,Mailed check,No,0
40,45.61,1824.35,Month-to-month,6,DSL,No,Yes,Credit card,Yes,1
15,87.07,1306.02,Month-to-month,9,Fiber optic,No,No,Mailed check,Yes,1
41,72.34,2965.87,Two year,8,DSL,Yes,No,Credit card,No,1
39,42.03,1639.34,Month-to-month,7,Fiber optic,No,No,Credit card,Yes,1
2,97.42,194.84,Month-to-month,5,Fiber optic,No,Yes,Credit card,Yes,1
63,45.72,2880.57,Month-to-month,3,Fiber optic,No,No,Mailed check,Yes,1
29,99.86,2895.9,Month-to-month,9,DSL,Yes,No,Mailed check,Yes,1
66,99.69,6579.74,Month-to-month,8,No,Yes,No,Bank transfer,No,1
51,35.3,1800.14,Month-to-month,6,DSL,No,No,Electronic check,Yes,1
10,45.02,450.19,One year,4,Fiber optic,No,Yes,Mailed check,Yes,1
14,58.88,824.37,Month-to-month,1,Fiber optic,Yes,Yes,Credit card,No,1
51,73.13,3729.53,Two year,8,No,No,No,Mailed check,Yes,1
39,62.24,2427.51,Month-to-month,6,Fiber optic,No,No,Mailed check,Yes,1
28,97.56,2731.55,Two year,8,DSL,No,No,Credit card,No,1
3,77.92,233.76,Two year,8,Fiber optic,Yes,Yes,Bank transfer,Yes,1
70,36.96,2587.45,One year,9,DSL,Yes,No,Credit card,No,0
27,28.41,767.01,Two year,4,DSL,No,No,Bank transfer,Yes,1
2,75.07,150.14,One year,6,No,No,No,Mailed check,Yes,1
38,32.68,1241.7,Two year,4,Fiber optic,Yes,No,Credit card,Yes,1
3,83.01,249.04,Month-to-month,2,DSL,No,Yes,Mailed check,No,0
16,44.88,718.13,Month-to-month,9,Fiber optic,No,No,Credit card,Yes,1
40,46.15,1846.06,One year,7,DSL,Yes,No,Mailed check,Yes,1
2,20.86,41.73,Month-to-month,7,DSL,No,Yes,Mailed check,Yes,1
41,76.08,3119.32,Two year,8,DSL,No,No,Mailed check,Yes,1
12,29.06,348.74,Two year,5,Fiber optic,Yes,No,Credit card,Yes,1
35,81.83,2864.07,Month-to-month,1,Fiber optic,Yes,Yes,Bank transfer,Yes,1
65,59.35,3857.71,Two year,2,Fiber optic,Yes,Yes,Mailed check,No,0
55,82.74,4550.83,Month-to-month,9,DSL,No,No,Credit card,No,1
45,66.71,3002.14,Month-to-month,5,Fiber optic,No,Yes,Credit card,Yes,1
62,26.59,1648.87,One year,0,Fiber optic,Yes,Yes,Mailed check,Yes,0
49,81.25,3981.36,Month-to-month,1,Fiber optic,No,No,Mailed check,Yes,1
25,25.58,639.6,One year,7,Fiber optic,Yes,Yes,Bank transfer,No,0
23,58.3,1340.81,One year,7,Fiber optic,No,No,Mailed check,Yes,1
24,33.79,810.91,Month-to-month,5,Fiber optic,Yes,Yes,Bank transfer,Yes,1
38,80.19,3047.1,One year,2,No,No,No,Electronic check,Yes,1
28,92.93,2601.96,One year,1,Fiber optic,No,Yes,Credit card,No,0
21,64.33,1350.93,Month-to-month,5,Fiber optic,No,Yes,Bank transfer,Yes,1
54,62.17,3357.28,Month-to-month,0,Fiber optic,No,No,Mailed check,No,1
18,81.12,1460.11,Two year,9,DSL,Yes,Yes,Bank transfer,Yes,0
36,20.41,734.63,Two year,5,Fiber optic,No,No,Mailed check,Yes,1
45,93.42,4203.93,Month-to-month,8,Fiber optic,No,No,Bank transfer,Yes,1
53,35.8,1897.18,Month-to-month,6,DSL,No,No,Credit card,No,1
30,98.73,2961.89,Two year,8,DSL,No,Yes,Bank transfer,Yes,1
60,78.9,4734.02,One year,1,No,Yes,No,Electronic check,Yes,1
32,81.94,2622.08,Month-to-month,4,Fiber optic,Yes,No,Credit card,Yes,1
67,72.5,4857.25,One year,8,DSL,No,Yes,Bank transfer,Yes,1
67,57.73,3868.11,Month-to-month,6,DSL,No,Yes,Electronic check,Yes,1
28,65.73,1840.45,One year,8,Fiber optic,Yes,No,Electronic check,Yes,1
44,23.71,1043.34,Month-to-month,5,DSL,No,No,Bank transfer,Yes,1
41,69.92,2866.59,Month-to-month,6,DSL,No,Yes,Credit card,Yes,1
63,70.09,4415.53,Month-to-month,9,Fiber optic,No,No,Bank transfer,Yes,1
23,91.3,2099.81,Two year,4,Fiber optic,Yes,No,Credit card,Yes,1
48,60.45,2901.72,One year,5,DSL,Yes,Yes,Credit card,Yes,0
32,26.17,837.49,One year,0,DSL,Yes,No,Bank transfer,Yes,0
57,44.5,2536.25,One year,0,Fiber optic,No,Yes,Electronic check,Yes,0
33,72.45,2390.86,Month-to-month,1,DSL,No,No,Credit card,No,1
24,39.14,939.38,Two year,3,DSL,No,No,Mailed check,Yes,0
39,42.44,1655.25,Month-to-month,8,DSL,No,No,Mailed check,Yes,1
34,85.64,2911.68,Two year,6,DSL,No,No,Electronic check,No,1
56,66.75,3737.75,Month-to-month,5,DSL,No,Yes,Electronic check,Yes,0
28,60.68,1699.1,Month-to-month,0,No,Yes,No,Bank transfer,No,1
37,45.48,1682.62,One year,4,DSL,Yes,Yes,Credit card,Yes,0
7,78.47,549.32,One year,3,DSL,Yes,No,Bank transfer,Yes,0
68,43.02,2925.19,Two year,4,DSL,Yes,No,Mailed check,Yes,0
37,78.97,2921.71,One year,8,Fiber optic,Yes,No,Mailed check,No,1
56,25.61,1434.05,Month-to-month,2,Fiber optic,Yes,No,Credit card,Yes,1
65,89.16,5795.61,Two year,3,Fiber optic,No,No,Credit card,No,1
65,59.97,3897.75,Month-to-month,7,Fiber optic,No,Yes,Mailed check,Yes,1
47,55.08,2588.79,Two year,2,DSL,Yes,Yes,Bank transfer,No,0
20,68.88,1377.64,One year,2,Fiber optic,No,Yes,Credit card,Yes,1
19,69.94,1328.77,Month-to-month,8,DSL,No,No,Bank transfer,Yes,1
29,30.56,886.32,Month-to-month,4,DSL,No,No,Credit card,No,1
60,80.5,4829.92,Month-to-month,9,DSL,No,No,Electronic check,No,1
18,42.07,757.34,Month-to-month,0,DSL,No,No,Bank transfer,Yes,1
35,92.4,3233.89,Month-to-month,6,Fiber optic,No,No,Mailed check,Yes,1
43,85.43,3673.41,Month-to-month,6,Fiber optic,Yes,Yes,Electronic check,Yes,1
11,47.7,524.71,Month-to-month,5,Fiber optic,Yes,No,Bank transfer,Yes,1
49,84.62,4146.34,One year,5,DSL,Yes,Yes,Credit card,No,0
38,48.51,1843.43,Two year,2,Fiber optic,No,No,Mailed check,Yes,1
64,28.08,1796.85,Month-to-month,2,DSL,Yes,No,Credit card,Yes,1
69,96.95,6689.62,Month-to-month,9,Fiber optic,No,No,Bank transfer,No,1
8,72.21,577.67,Month-to-month,8,DSL,Yes,No,Electronic check,Yes,1
34,56.49,1920.59,One year,0,DSL,No,No,Bank transfer,Yes,1
48,51.82,2487.45,Two year,6,Fiber optic,No,No,Mailed check,Yes,1
56,45.98,2574.68,One year,9,Fiber optic,Yes,Yes,Electronic check,No,0
65,98.52,6403.53,Two year,6,Fiber optic,No,Yes,Mailed check,Yes,1
31,30.78,954.17,One year,7,DSL,No,No,Credit card,Yes,1
4,45.18,180.74,One year,5,DSL,No,No,Electronic check,No,0
50,58.84,2941.99,Month-to-month,7,DSL,Yes,No,Bank transfer,Yes,1
69,58.24,4018.56,Two year,0,Fiber optic,No,No,Credit card,Yes,1
30,57.71,1731.28,Two year,0,Fiber optic,Yes,No,Credit card,Yes,1
59,34.06,2009.7,One year,8,DSL,No,No,Bank transfer,No,1
67,31.59,2116.84,Two year,3,DSL,Yes,Yes,Credit card,No,0
45,40.38,1817.16,Month-to-month,2,Fiber optic,No,Yes,Mailed check,Yes,1
4,93.16,372.65,Two year,5,DSL,Yes,No,Bank transfer,Yes,0
26,29.04,755.15,Month-to-month,9,DSL,Yes,Yes,Credit card,Yes,1
27,80.59,2176.04,Month-to-month,8,Fiber optic,No,Yes,Electronic check,Yes,1
46,80.6,3707.78,Month-to-month,9,DSL,No,No,Bank transfer,No,1
64,84.78,5426.02,Two year,3,Fiber optic,No,No,Bank transfer,Yes,1
51,90.93,4637.39,Two year,8,Fiber optic,Yes,No,Credit card,Yes,1
50,41.04,2052.14,Two year,4,DSL,No,Yes,Bank transfer,Yes,0
6,37.96,227.79,Two year,6,DSL,No,No,Bank transfer,Yes,1
59,57.24,3377.19,Month-to-month,2,DSL,No,No,Bank transfer,Yes,1
15,41.21,618.11,Two year,2,Fiber optic,No,No,Bank transfer,No,1
30,78.74,2362.34,Two year,2,No,No,Yes,Bank transfer,Yes,0
42,70.88,2976.76,One year,7,DSL,No,No,Bank transfer,Yes,1
37,90.0,3329.96,Month-to-month,5,Fiber optic,Yes,No,Mailed check,Yes,1
42,26.62,1118.0,One year,8,Fiber optic,Yes,No,Credit card,Yes,1
35,93.21,3262.23,Two year,8,Fiber optic,Yes,Yes,Mailed check,No,1
6,43.47,260.81,Two year,7,Fiber optic,No,No,Credit card,Yes,1
68,59.26,4029.38,Two year,0,Fiber optic,No,No,Bank transfer,Yes,1
18,55.09,991.6,Two year,5,Fiber optic,No,No,Credit card,Yes,1
29,80.82,2343.92,Two year,3,Fiber optic,No,Yes,Mailed check,No,0
59,53.63,3163.97,One year,3,DSL,No,No,Credit card,No,0
47,95.48,4487.76,One year,2,No,No,Yes,Bank transfer,Yes,0
17,92.2,1567.45,Month-to-month,8,Fiber optic,No,No,Bank transfer,No,1
22,89.77,1975.0,One year,1,Fiber optic,No,No,Bank transfer,Yes,1
68,25.7,1747.65,One year,0,No,No,Yes,Mailed check,Yes,0
69,88.34,6095.5,Two year,9,Fiber optic,No,No,Electronic check,No,1
37,82.53,3053.64,Month-to-month,2,Fiber optic,No,No,Bank transfer,Yes,1
49,28.28,1385.77,Month-to-month,3,DSL,No,Yes,Bank transfer,No,1
13,28.59,371.71,Month-to-month,3,No,No,Yes,Credit card,Yes,1
34,28.09,955.17,One year,5,Fiber optic,Yes,Yes,Electronic check,Yes,0
53,20.91,1108.05,One year,0,Fiber optic,No,No,Credit card,Yes,1
51,63.89,3258.43,Month-to-month,0,No,Yes,Yes,Mailed check,No,0
3,97.87,293.61,Month-to-month,1,DSL,Yes,No,Electronic check,Yes,1
42,55.09,2313.98,Month-to-month,3,DSL,No,No,Bank transfer,Yes,1
32,63.26,2024.34,Month-to-month,6,Fiber optic,No,No,Electronic check,No,1
51,97.44,4969.32,Month-to-month,5,DSL,No,Yes,Bank transfer,Yes,1
46,40.41,1859.07,Month-to-month,8,Fiber optic,Yes,No,Mailed check,Yes,1
21,88.68,1862.23,Month-to-month,6,DSL,No,Yes,Credit card,Yes,1
44,63.71,2803.29,Month-to-month,4,DSL,No,No,Mailed check,Yes,1
11,65.56,721.14,Month-to-month,5,Fiber optic,No,No,Mailed check,No,1
68,47.45,3226.87,Two year,9,Fiber optic,No,Yes,Bank transfer,No,1
1,64.93,64.93,Month-to-month,8,DSL,Yes,No,Credit card,Yes,1
63,25.85,1628.64,Month-to-month,0,DSL,Yes,No,Mailed check,No,1
24,81.17,1948.12,Month-to-month,8,Fiber optic,No,Yes,Electronic check,Yes,1
13,42.78,556.08,Month-to-month,5,Fiber optic,Yes,No,Mailed check,Yes,1
11,91.01,1001.1,Month-to-month,3,Fiber optic,Yes,No,Bank transfer,Yes,1
51,49.43,2520.83,Month-to-month,4,DSL,No,Yes,Electronic check,No,1
17,31.43,534.24,One year,0,Fiber optic,No,Yes,Electronic check,Yes,1
24,75.67,1816.09,One year,6,DSL,Yes,No,Credit card,Yes,1
19,33.17,630.16,One year,7,DSL,Yes,No,Electronic check,No,0
37,80.29,2970.89,One year,4,No,Yes,No,Electronic check,Yes,0
8,97.45,779.59,Month-to-month,1,DSL,Yes,Yes,Bank transfer,No,0
28,82.36,2306.2,Two year,7,DSL,No,Yes,Credit card,No,1
5,21.8,108.98,Month-to-month,9,DSL,Yes,No,Mailed check,Yes,1
17,67.99,1155.84,One year,6,No,No,No,Electronic check,No,1
36,75.63,2722.78,Month-to-month,9,Fiber optic,No,No,Mailed check,No,1
19,86.04,1634.7,Two year,8,Fiber optic,No,Yes,Mailed check,Yes,1
64,24.48,1566.73,One year,3,Fiber optic,No,Yes,Mailed check,No,0
11,58.41,642.49,Month-to-month,8,DSL,Yes,No,Credit card,Yes,1
54,62.83,3392.8,One year,3,Fiber optic,No,No,Mailed check,Yes,1
45,33.53,1508.85,Month-to-month,2,DSL,No,Yes,Bank transfer,Yes,1
47,45.8,2152.41,One year,2,Fiber optic,No,Yes,Credit card,No,1
12,55.22,662.61,One year,9,Fiber optic,Yes,No,Credit card,Yes,1
21,86.66,1819.79,Month-to-month,1,DSL,Yes,No,Credit card,Yes,1
11,94.35,1037.88,Month-to-month,9,DSL,Yes,Yes,Credit card,No,1
5,70.27,351.37,Month-to-month,2,Fiber optic,No,Yes,Electronic check,Yes,1
56,51.6,2889.35,One year,7,DSL,No,Yes,Electronic check,Yes,1
20,40.32,806.45,Month-to-month,7,DSL,No,Yes,Mailed check,Yes,1
41,98.57,4041.4,One year,1,DSL,No,No,Electronic check,Yes,1
46,98.64,4537.51,Two year,1,Fiber optic,Yes,Yes,Credit card,Yes,0
12,94.0,1127.98,Month-to-month,1,Fiber optic,No,No,Mailed check,Yes,1
70,82.85,5799.75,Two year,9,Fiber optic,No,No,Bank transfer,Yes,1
17,46.06,783.06,One year,6,Fiber optic,Yes,No,Electronic check,Yes,1
19,85.36,1621.84,Month-to-month,5,Fiber optic,No,No,Credit card,Yes,1
26,52.7,1370.29,Month-to-month,0,DSL,No,Yes,Mailed check,Yes,1
48,46.14,2214.81,One year,1,DSL,Yes,Yes,Electronic check,Yes,0
52,79.59,4138.64,Month-to-month,0,Fiber optic,No,No,Credit card,No,1
70,26.37,1846.06,Month-to-month,6,Fiber optic,No,No,Mailed check,Yes,1
55,23.89,1313.68,Month-to-month,5,Fiber optic,Yes,No,Electronic check,Yes,1
33,55.84,1842.6,One year,1,Fiber optic,No,Yes,Bank transfer,Yes,1
62,55.65,3450.37,One year,1,Fiber optic,Yes,No,Electronic check,Yes,0
23,91.65,2107.99,One year,1,No,No,Yes,Credit card,No,0
15,30.09,451.38,Month-to-month,7,DSL,Yes,Yes,Credit card,Yes,1
27,29.86,806.29,Two year,6,DSL,Yes,No,Bank transfer,Yes,1
64,31.8,2034.96,Two year,0,Fiber optic,No,No,Bank transfer,Yes,1
51,22.38,1141.32,Month-to-month,3,DSL,Yes,No,Mailed check,Yes,1
53,25.74,1364.14,Month-to-month,3,Fiber optic,Yes,Yes,Mailed check,Yes,1
51,72.79,3712.27,Two year,6,DSL,Yes,No,Credit card,Yes,1
47,54.53,2562.76,Two year,1,Fiber optic,Yes,No,Electronic check,Yes,1
4,81.09,324.35,One year,3,Fiber optic,Yes,No,Bank transfer,Yes,1
7,99.41,695.85,Two year,0,Fiber optic,No,No,Mailed check,Yes,1
35,72.72,2545.3,One year,3,DSL,No,No,Credit card,Yes,1
48,24.04,1153.75,Month-to-month,0,No,No,Yes,Credit card,No,1
45,28.37,1276.43,One year,1,DSL,No,Yes,Credit card,Yes,1
19,90.48,1719.13,One year,1,Fiber optic,No,Yes,Bank transfer,Yes,0
63,62.2,3918.58,Two year,9,Fiber optic,Yes,No,Bank transfer,Yes,1
38,85.99,3267.5,Month-to-month,2,DSL,Yes,No,Bank transfer,No,1
67,88.53,5931.44,One year,7,No,No,No,Electronic check,No,0
59,94.21,5558.62,One year,5,Fiber optic,Yes,Yes,Bank transfer,Yes,0
69,95.99,6623.06,Month-to-month,5,Fiber optic,No,No,Credit card,Yes,1
13,64.39,837.02,Month-to-month,8,Fiber optic,No,Yes,Bank transfer,No,1
47,47.28,2222.24,Two year,7,Fiber optic,No,Yes,Electronic check,Yes,1
61,96.95,5913.9,Month-to-month,1,DSL,No,No,Electronic check,No,1
31,63.79,1977.57,One year,5,Fiber optic,No,Yes,Credit card,Yes,1
22,25.14,553.08,Two year,0,Fiber optic,No,No,Mailed check,Yes,1
43,71.42,3071.15,Month-to-month,8,DSL,No,No,Bank transfer,No,1
67,67.01,4489.99,Two year,3,Fiber optic,Yes,Yes,Bank transfer,No,0
54,91.66,4949.83,One year,3,Fiber optic,No,Yes,Electronic check,Yes,0
10,72.25,722.55,Month-to-month,8,Fiber optic,No,No,Electronic check,No,1
42,47.92,2012.82,Month-to-month,2,DSL,No,Yes,Mailed check,No,1
64,97.3,6227.08,Two year,4,DSL,No,Yes,Electronic check,Yes,1
21,84.13,1766.72,Month-to-month,0,DSL,Yes,No,Electronic check,Yes,0
66,70.43,4648.61,Month-to-month,5,Fiber optic,No,Yes,Electronic check,Yes,1
41,43.43,1780.79,Month-to-month,2,No,No,No,Electronic check,No,1
24,49.88,1197.2,Month-to-month,0,DSL,No,No,Mailed check,Yes,1
35,73.6,2575.92,Month-to-month,9,DSL,Yes,No,Bank transfer,Yes,1
56,25.76,1442.47,Two year,5,Fiber optic,No,No,Bank transfer,Yes,0
30,40.53,1216.03,Two year,9,DSL,No,Yes,Bank transfer,Yes,1
57,77.11,4395.39,Month-to-month,1,DSL,Yes,Yes,Bank transfer,Yes,1
47,58.4,2744.87,Month-to-month,7,Fiber optic,No,No,Bank transfer,Yes,1
35,52.19,1826.7,One year,1,Fiber optic,No,No,Credit card,No,1
19,32.12,610.22,Month-to-month,3,Fiber optic,Yes,Yes,Credit card,Yes,1
8,55.35,442.78,Two year,2,Fiber optic,No,No,Electronic check,Yes,1
26,81.66,2123.04,Two year,8,DSL,No,No,Credit card,Yes,1
71,41.12,2919.59,Two year,1,Fiber optic,No,No,Bank transfer,Yes,1
30,20.43,612.96,Month-to-month,2,DSL,Yes,No,Electronic check,Yes,1
7,73.48,514.36,Month-to-month,6,DSL,Yes,Yes,Bank transfer,Yes,1
67,97.81,6553.28,Month-to-month,3,DSL,Yes,Yes,Bank transfer,Yes,1
65,68.55,4455.5,Month-to-month,5,DSL,Yes,Yes,Electronic check,Yes,1
36,29.59,1065.37,Month-to-month,2,DSL,Yes,Yes,Bank transfer,Yes,1
25,45.66,1141.47,Two year,0,Fiber optic,No,No,Credit card,Yes,1
37,89.41,3308.22,Two year,5,Fiber optic,Yes,Yes,Electronic check,No,0
1,38.61,38.61,Two year,3,DSL,Yes,Yes,Mailed check,Yes,0
15,68.62,1029.24,Two year,1,Fiber optic,Yes,Yes,Mailed check,No,0
37,52.21,1931.91,Month-to-month,6,Fiber optic,Yes,No,Mailed check,No,1
13,36.63,476.16,One year,9,DSL,No,No,Bank transfer,Yes,1
8,85.07,680.58,Month-to-month,4,DSL,No,No,Bank transfer,No,1
5,79.43,397.13,Month-to-month,5,DSL,Yes,No,Bank transfer,Yes,1
60,72.93,4375.64,One year,5,DSL,Yes,No,Bank transfer,Yes,0
1,38.91,38.91,One year,8,Fiber optic,No,Yes,Electronic check,No,1
36,27.83,1001.83,One year,1,DSL,Yes,No,Mailed check,Yes,0
35,66.09,2313.25,Month-to-month,5,DSL,No,No,Credit card,Yes,1
66,64.29,4243.42,Month-to-month,8,DSL,No,Yes,Electronic check,No,1
63,35.07,2209.46,Month-to-month,3,Fiber optic,Yes,Yes,Mailed check,Yes,1
23,24.5,563.49,Month-to-month,5,DSL,No,No,Mailed check,Yes,1
9,26.46,238.11,Month-to-month,6,Fiber optic,No,Yes,Electronic check,Yes,1
34,99.42,3380.34,One year,0,DSL,Yes,No,Electronic check,Yes,0
46,82.69,3803.59,Two year,4,Fiber optic,Yes,No,Electronic check,Yes,0
4,93.76,375.04,Month-to-month,3,No,No,Yes,Credit card,No,1
30,35.6,1068.13,One year,9,Fiber optic,No,No,Mailed check,No,1
3,96.85,290.54,Month-to-month,1,Fiber optic,Yes,Yes,Credit card,Yes,1
14,31.41,439.77,Two year,1,Fiber optic,No,Yes,Credit card,Yes,0
60,60.73,3643.59,Month-to-month,1,Fiber optic,Yes,No,Credit card,No,1
45,86.38,3886.9,Two year,6,Fiber optic,No,Yes,Credit card,Yes,1
34,47.98,1631.47,Two year,3,DSL,No,No,Credit card,Yes,1
45,53.99,2429.38,Two year,5,Fiber optic,No,Yes,Electronic check,Yes,1
61,30.25,1845.54,Month-to-month,6,No,No,Yes,Credit card,Yes,1
16,29.83,477.34,One year,8,DSL,Yes,Yes,Bank transfer,Yes,0
66,69.57,4591.32,Month-to-month,1,No,No,No,Electronic check,Yes,1
40,74.04,2961.7,Month-to-month,9,Fiber optic,Yes,Yes,Mailed check,Yes,1
17,82.19,1397.17,Month-to-month,8,Fiber optic,No,Yes,Mailed check,Yes,1
34,64.53,2194.18,Two year,4,Fiber optic,No,No,Electronic check,Yes,1
16,71.66,1146.57,Two year,5,Fiber optic,No,No,Credit card,Yes,1
60,21.08,1264.88,Month-to-month,5,DSL,Yes,Yes,Electronic check,Yes,1
66,32.97,2176.26,One year,2,DSL,No,No,Mailed check,Yes,0
66,98.79,6520.35,Two year,9,Fiber optic,No,No,Mailed check,No,1
13,26.08,339.03,Month-to-month,6,No,No,No,Electronic check,Yes,1
56,74.3,4160.97,Month-to-month,6,Fiber optic,Yes,No,Bank transfer,Yes,1
31,34.09,1056.68,Month-to-month,7,DSL,No,No,Bank transfer,Yes,1
34,77.34,2629.47,One year,4,DSL,Yes,No,Bank transfer,Yes,0
39,76.48,2982.69,Month-to-month,1,No,Yes,No,Mailed check,Yes,1
67,38.74,2595.31,One year,2,DSL,Yes,Yes,Bank transfer,Yes,0
8,41.57,332.57,Month-to-month,8,Fiber optic,Yes,No,Bank transfer,No,1
55,72.38,3980.99,Month-to-month,5,DSL,Yes,No,Electronic check,Yes,1
27,51.21,1382.59,Month-to-month,7,DSL,Yes,Yes,Credit card,No,0
53,35.56,1884.88,Month-to-month,7,DSL,Yes,Yes,Credit card,Yes,1
39,78.53,3062.84,Month-to-month,4,DSL,No,No,Electronic check,No,1
65,32.33,2101.57,Month-to-month,0,Fiber optic,No,No,Credit card,Yes,1
17,88.45,1503.68,Two year,5,DSL,No,Yes,Bank transfer,No,0
30,61.17,1835.21,Month-to-month,6,DSL,No,No,Mailed check,Yes,1
53,28.46,1508.17,One year,8,Fiber optic,No,No,Bank transfer,Yes,1
13,75.53,981.84,Two year,1,No,No,No,Electronic check,No,0
21,61.53,1292.19,Two year,1,Fiber optic,Yes,No,Credit card,Yes,0
19,43.84,833.05,Two year,9,DSL,No,No,Electronic check,No,1
53,53.8,2851.57,One year,0,DSL,No,No,Electronic check,Yes,1
19,43.87,833.47,Month-to-month,4,Fiber optic,No,Yes,Bank transfer,Yes,1
57,41.04,2339.4,Two year,1,Fiber optic,No,No,Credit card,Yes,1
25,33.09,827.22,Two year,2,DSL,No,Yes,Mailed check,Yes,0
31,49.02,1519.66,Two year,1,DSL,No,Yes,Bank transfer,Yes,0
55,40.08,2204.34,One year,3,Fiber optic,No,No,Electronic check,Yes,1
23,74.67,1717.52,One year,2,Fiber optic,No,Yes,Electronic check,Yes,1
32,74.71,2390.72,Month-to-month,8,Fiber optic,Yes,No,Credit card,Yes,1
62,60.15,3729.13,One year,9,DSL,No,No,Electronic check,No,1
10,82.24,822.36,Month-to-month,1,DSL,No,Yes,Electronic check,Yes,1
54,87.31,4714.59,Month-to-month,6,DSL,No,Yes,Bank transfer,Yes,1
52,66.38,3451.83,One year,2,DSL,No,No,Credit card,Yes,1
20,69.51,1390.3,Month-to-month,9,No,Yes,No,Bank transfer,No,1
32,42.63,1364.19,Month-to-month,7,DSL,No,No,Mailed check,Yes,1
14,91.59,1282.25,Two year,3,Fiber optic,No,Yes,Electronic check,Yes,0
50,21.94,1096.82,Two year,3,Fiber optic,No,No,Bank transfer,Yes,1
28,47.89,1340.87,One year,8,DSL,Yes,Yes,Bank transfer,No,0
53,77.74,4120.43,One year,2,Fiber optic,Yes,Yes,Credit card,Yes,0
24,26.41,633.77,Two year,6,Fiber optic,No,Yes,Electronic check,Yes,1
